start_date,end_date,product_id,frequency_ampm,frequency_days,n_weeks,routine_id,New Column
1/6/2019,,6,am,*,1,1,1/6/2019
1/6/2019,1/2/2020,4,am,*,1,1,1/6/2019
1/6/2019,,7,am,*,1,1,1/6/2019
1/6/2019,,11,pm,*,1,2,1/6/2019
1/6/2019,1/2/2020,4,pm,*,1,2,1/6/2019
1/6/2019,,10,pm,*,1,2,1/6/2019
1/6/2019,,9,pm,*,1,2,1/6/2019
1/6/2019,1/9/2019,1,pm,[0; 2; 4],1,3,1/6/2019
1/6/2019,,8,pm,[1; 3; 5],1,4,1/6/2019
1/6/2019,1/5/2021,3,am,[0],2,5,1/6/2019
1/9/2019,8/6/2021,2,pm,[0; 2; 4],1,3,1/9/2019
1/2/2020,,5,am,*,1,1,1/2/2020
1/2/2020,,5,pm,*,1,2,1/2/2020
1/5/2021,8/6/2021,12,am,*,1,1,1/5/2021
8/6/2021,,2,pm,[0; 4],1,3,8/6/2021
8/6/2021,,13,am,*,1,1,8/6/2021